,venue_boundaries,venue_highest_runs,venue_boundaries_first_six,venue_avg_wicket,SR,avg,batting_team,bowling_team,BF,runs,_4s,_6s,_30s,_50s,economy,wickets,innings,runs_after_6ovs
91,93,246,59,5,1.158736201,20.84931507,Chennai Super Kings,Royal Challengers Bangalore,1313.5,1522,196,26,73,73,7.294117647,90,2,44
92,30,213,21,5,1.230224813,25.47413793,Deccan Chargers,Kings XI Punjab,1201,1477.5,161,61.5,58,58,7.863713799,29,1,42
93,30,213,21,5,1.245823389,30.48175182,Kings XI Punjab,Deccan Chargers,1676,2088,232,52.5,68.5,68.5,7.843358902,34,2,74
94,32,231,19,6,1.18126428,28.72222222,Mumbai Indians,Delhi Daredevils,1313,1551,190,34,54,54,7.640067912,19.75,1,60
95,32,231,19,6,1.248274007,27.08560311,Delhi Daredevils,Mumbai Indians,2788.25,3480.5,395.75,79,128.5,128.5,7.772925764,62.75,2,56
96,93,246,59,5,1.105613701,24.20833333,Rajasthan Royals,Chennai Super Kings,525.5,581,75,9.5,24,24,8.114770798,53,1,67
97,93,246,59,5,1.260824282,25.2202381,Chennai Super Kings,Rajasthan Royals,2240.333333,2824.666667,296,83.66666667,112,112,7.491406747,46.75,2,65
98,63,231,38,5,1.230224813,25.47413793,Deccan Chargers,Royal Challengers Bangalore,1201,1477.5,161,61.5,58,58,7.132701422,83,1,41
99,63,231,38,5,1.064490446,24.09009009,Royal Challengers Bangalore,Deccan Chargers,837.3333333,891.3333333,93,17.66666667,37,37,7.777687955,35.25,2,43
100,36,232,19,5,1.252181025,29.44230769,Kings XI Punjab,Kolkata Knight Riders,1222.666667,1531,171,38.66666667,52,52,7.899958661,36.33333333,1,47
101,36,232,19,5,1.099236641,21.69863014,Kolkata Knight Riders,Kings XI Punjab,720.5,792,70,30,36.5,36.5,7.656294605,58.66666667,2,51
102,32,205,18,5,1.18126428,28.72222222,Mumbai Indians,Rajasthan Royals,1313,1551,190,34,54,54,7.593533487,53.75,1,29
103,32,205,18,5,1.345700721,23.99059561,Rajasthan Royals,Mumbai Indians,1421.75,1913.25,177.25,92.25,79.75,79.75,7.550938873,55,2,36
104,63,231,38,5,1.193841642,22.87078652,Deccan Chargers,Chennai Super Kings,852.5,1017.75,102.25,40.75,44.5,44.5,8.298769772,27.5,1,26
105,63,231,38,5,1.260824282,25.2202381,Chennai Super Kings,Deccan Chargers,2240.333333,2824.666667,296,83.66666667,112,112,7.73399459,40.33333333,2,44
106,74,263,40,5,1.11821975,15.46153846,Royal Challengers Bangalore,Mumbai Indians,239.6666667,268,24.66666667,7.333333333,17.33333333,17.33333333,7.550938873,55,1,36
107,74,263,40,5,1.18126428,28.72222222,Mumbai Indians,Royal Challengers Bangalore,1313,1551,190,34,54,54,7.459198813,104.25,2,39
108,30,213,21,5,1.298480786,33.02272727,Kings XI Punjab,Rajasthan Royals,1119,1453,159,44.5,44,44,7.749869452,74,1,51
109,30,213,21,5,1.29142684,25.07647059,Rajasthan Royals,Kings XI Punjab,825.25,1065.75,103.25,49.25,42.5,42.5,7.86351706,57.33333333,2,38
110,25,189,16,5,1.105613701,24.20833333,Rajasthan Royals,Delhi Daredevils,525.5,581,75,9.5,24,24,8.009019166,17,1,58
111,25,189,16,5,1.235048337,26.7287234,Delhi Daredevils,Rajasthan Royals,2441.2,3015,344.6,68,112.8,112.8,7.531712474,77,2,28
112,25,189,16,5,1.225618459,23.31447964,Kings XI Punjab,Chennai Super Kings,1401.333333,1717.5,169.8333333,57.16666667,73.66666667,73.66666667,7.368150055,43,1,35
113,25,189,16,5,1.263765941,25.21856287,Chennai Super Kings,Kings XI Punjab,2221.666667,2807.666667,294,83.66666667,111.3333333,111.3333333,7.773360867,48.75,2,35
114,27,187,16,5,1.263765941,25.21856287,Chennai Super Kings,Rajasthan Royals,2221.666667,2807.666667,294,83.66666667,111.3333333,111.3333333,7.479468599,72,1,42
115,27,187,16,5,1.197860963,21.67741935,Rajasthan Royals,Chennai Super Kings,187,224,27.66666667,6.333333333,10.33333333,10.33333333,8.298769772,27.5,2,41
116,22,184,15,6,1.22397189,24.55613577,Royal Challengers Bangalore,Rajasthan Royals,1536.8,1881,189.8,59.2,76.6,76.6,7.531300161,43.33333333,1,29
117,22,184,15,6,1.083752094,23.10714286,Rajasthan Royals,Royal Challengers Bangalore,298.5,323.5,41,5.25,14,14,7.571569317,121.6666667,2,14
118,22,184,15,6,1.214368482,29.52112676,Mumbai Indians,Chennai Super Kings,2301.333333,2794.666667,327,59.66666667,94.66666667,94.66666667,8.389427313,20.33333333,1,40
119,22,184,15,6,1.268223923,26.16897507,Chennai Super Kings,Mumbai Indians,1862.25,2361.75,246.75,73.5,90.25,90.25,7.567787218,171,2,40
120,22,184,15,6,1.050490884,19.71052632,Kings XI Punjab,Delhi Daredevils,356.5,374.5,28,12.5,19,19,7.984413054,31.5,1,67
121,22,184,15,6,1.291852679,27.23529412,Delhi Daredevils,Kings XI Punjab,2688,3472.5,413,82.5,127.5,127.5,7.901660487,66.6,2,58
122,22,184,15,6,1.275912409,28.73424658,Kolkata Knight Riders,Deccan Chargers,1644,2097.6,189.2,113.2,73,73,7.671978236,49.33333333,1,21
123,22,184,15,6,1.24860253,25.64350453,Deccan Chargers,Kolkata Knight Riders,1699.5,2122,203.5,85.75,82.75,82.75,7.957859717,86,2,37
124,21,187,16,4,1.199575372,23.54166667,Chennai Super Kings,Royal Challengers Bangalore,1648.5,1977.5,243,46.5,84,84,7.623989218,111.5,1,68
125,21,187,16,4,1.172370443,21.6314433,Royal Challengers Bangalore,Chennai Super Kings,1789.75,2098.25,199.25,67.5,97,97,8.094287041,80.66666667,2,46
126,33,211,17,6,1.112478032,15.825,Kings XI Punjab,Kolkata Knight Riders,569,633,48,21,40,40,8.007513812,73.33333333,1,46
127,33,211,17,6,1.333822666,29.98679868,Kolkata Knight Riders,Kings XI Punjab,2270.666667,3028.666667,267.3333333,174.6666667,101,101,7.750294464,45.33333333,2,60
128,22,184,15,6,1.209189391,23.80147059,Deccan Chargers,Royal Challengers Bangalore,892.3333333,1079,118.3333333,42.66666667,45.33333333,45.33333333,7.388806192,102.6666667,1,62
129,22,184,15,6,1.199472515,25.26608187,Royal Challengers Bangalore,Deccan Chargers,1801,2160.25,217.25,66.5,85.5,85.5,7.671978236,49.33333333,2,31
130,33,211,17,6,1.335728215,28.16883117,Delhi Daredevils,Chennai Super Kings,2435.75,3253.5,340.25,107,115.5,115.5,8.117566331,61.25,1,59
131,33,211,17,6,1.269787579,26.2150838,Chennai Super Kings,Delhi Daredevils,2463.666667,3128.333333,327.3333333,97.33333333,119.3333333,119.3333333,7.782988004,57.5,2,61
132,22,184,15,6,1.274832589,21.55188679,Rajasthan Royals,Kolkata Knight Riders,896,1142.25,107.5,48.25,53,53,8.245410037,48.66666667,1,54
133,22,184,15,6,1.344690045,29.63736264,Kolkata Knight Riders,Rajasthan Royals,2005.666667,2697,237.6666667,165.6666667,91,91,7.261044177,40.5,2,38
134,22,184,15,6,1.359872611,32.025,Kolkata Knight Riders,Rajasthan Royals,2826,3843,340,240.5,120,120,8.406779661,17,3,15
135,22,184,15,6,1.372816361,21.05882353,Rajasthan Royals,Kolkata Knight Riders,2347,3222,263,161,153,153,7.403225806,12,4,18
136,33,211,17,6,1.184815951,25.50707547,Royal Challengers Bangalore,Kings XI Punjab,1825.6,2163,227.6,58.8,84.8,84.8,7.786962079,42,1,49
137,33,211,17,6,1.050490884,19.71052632,Kings XI Punjab,Royal Challengers Bangalore,356.5,374.5,28,12.5,19,19,7.964517525,86.5,2,44
138,33,211,17,6,1.230224813,25.47413793,Deccan Chargers,Mumbai Indians,1201,1477.5,161,61.5,58,58,7.404905856,172,1,55
139,33,211,17,6,1.189383403,28.03825137,Mumbai Indians,Deccan Chargers,1438,1710.333333,168.6666667,49,61,61,7.671978236,49.33333333,2,50
140,21,187,16,4,1.193042562,24.67029973,Royal Challengers Bangalore,Delhi Daredevils,1897.25,2263.5,216.5,73.25,91.75,91.75,7.778473804,73.66666667,1,45
141,21,187,16,4,1.335728215,28.16883117,Delhi Daredevils,Royal Challengers Bangalore,2435.75,3253.5,340.25,107,115.5,115.5,8.18575419,78.33333333,2,43
142,22,184,15,6,1.207089099,23.01851852,Kings XI Punjab,Rajasthan Royals,1373,1657.333333,150.6666667,64,72,72,7.446446119,46.75,1,38
143,22,184,15,6,1.251807899,18.96348315,Rajasthan Royals,Kings XI Punjab,898.8333333,1125.166667,98.33333333,43.33333333,59.33333333,59.33333333,7.829152112,41,2,32
144,33,211,17,6,1.269787579,26.2150838,Chennai Super Kings,Deccan Chargers,2463.666667,3128.333333,327.3333333,97.33333333,119.3333333,119.3333333,8.00570817,40.25,1,62
145,33,211,17,6,1.209189391,23.80147059,Deccan Chargers,Chennai Super Kings,892.3333333,1079,118.3333333,42.66666667,45.33333333,45.33333333,7.668769253,71.4,2,69
146,21,187,16,4,1.18126428,28.72222222,Mumbai Indians,Kolkata Knight Riders,1313,1551,190,34,54,54,7.955749936,62.33333333,1,61
147,21,187,16,4,1.281468746,29.06685237,Kolkata Knight Riders,Mumbai Indians,2035.75,2608.75,234.75,141.5,89.75,89.75,7.404905856,172,2,47
148,28,188,16,6,1.335728215,28.16883117,Delhi Daredevils,Rajasthan Royals,2435.75,3253.5,340.25,107,115.5,115.5,7.531300161,43.33333333,1,42
149,28,188,16,6,1.111111111,22.69230769,Rajasthan Royals,Delhi Daredevils,398.25,442.5,55.75,10.5,19.5,19.5,7.778473804,73.66666667,2,33
150,33,211,17,6,1.281468746,29.06685237,Kolkata Knight Riders,Royal Challengers Bangalore,2035.75,2608.75,234.75,141.5,89.75,89.75,7.406044678,44,1,45
151,33,211,17,6,1.041347626,23.44827586,Royal Challengers Bangalore,Kolkata Knight Riders,1306,1360,143.5,23.5,58,58,7.855777585,48,2,46
152,33,211,17,6,1.190094015,22.37068966,Kings XI Punjab,Mumbai Indians,1090.25,1297.5,117.25,50.25,58,58,7.404905856,172,1,26
153,33,211,17,6,1.214096287,25.87608696,Mumbai Indians,Kings XI Punjab,1960.8,2380.6,244.6,63.8,92,92,7.681605351,39,2,23
154,28,188,16,6,1.252719278,25.59338061,Chennai Super Kings,Rajasthan Royals,2160.5,2706.5,284,80,105.75,105.75,7.261044177,40.5,1,40
155,28,188,16,6,1.164753545,17.96875,Rajasthan Royals,Chennai Super Kings,740.5,862.5,80.5,24.5,48,48,8.124174373,43,2,38
156,28,188,16,6,1.251323151,26.02201258,Deccan Chargers,Delhi Daredevils,1653.25,2068.75,196.5,84.5,79.5,79.5,7.778473804,73.66666667,1,37
157,28,188,16,6,1.335728215,28.16883117,Delhi Daredevils,Deccan Chargers,2435.75,3253.5,340.25,107,115.5,115.5,7.703808181,39.66666667,2,41
158,21,178,15,4,1.190944373,18.8647541,Mumbai Indians,Kolkata Knight Riders,966.25,1150.75,128.5,32.5,61,61,7.812316716,60,1,40
159,21,178,15,4,1.287525017,30.2745098,Kolkata Knight Riders,Mumbai Indians,1499,1930,166.25,109.25,63.75,63.75,7.160691788,125.75,2,26
160,33,211,17,6,1.078735076,22.58783784,Royal Challengers Bangalore,Kings XI Punjab,774.75,835.75,89.25,17,37,37,7.750294464,45.33333333,1,38
161,33,211,17,6,1.208130081,20.92957746,Kings XI Punjab,Royal Challengers Bangalore,1230,1486,117.5,79,71,71,7.702373316,68.66666667,2,35
162,25,189,16,5,1.27966457,28,Chennai Super Kings,Delhi Daredevils,2385,3052,288,111.3333333,109,109,7.778473804,73.66666667,1,53
163,25,189,16,5,1.324048045,31.0239521,Delhi Daredevils,Chennai Super Kings,2934.75,3885.75,384.25,129.25,125.25,125.25,8.030587074,56,2,49
164,21,187,16,4,1.213483146,24.58536585,Deccan Chargers,Rajasthan Royals,830.6666667,1008,109,41,41,41,7.528867506,71.25,1,39
165,21,187,16,4,1.159143788,17.54225352,Rajasthan Royals,Deccan Chargers,859.6,996.4,88.4,34.8,56.8,56.8,7.908562573,49.33333333,2,30
166,21,187,16,4,1.333822666,29.98679868,Kolkata Knight Riders,Kings XI Punjab,2270.666667,3028.666667,267.3333333,174.6666667,101,101,7.681605351,39,1,28
167,21,187,16,4,1.184415584,23.18644068,Kings XI Punjab,Kolkata Knight Riders,866.25,1026,113.75,23.25,44.25,44.25,8.037916584,59.25,2,51
168,25,189,16,5,1.190658845,24.89150943,Mumbai Indians,Royal Challengers Bangalore,1772.8,2110.8,207.6,56.8,84.8,84.8,7.697253851,65.66666667,1,25
169,25,189,16,5,1.174176634,25.14385965,Royal Challengers Bangalore,Mumbai Indians,2034.333333,2388.666667,241,70,95,95,7.583253589,131.75,2,51
170,21,178,15,4,1.217249265,27.19708029,Chennai Super Kings,Deccan Chargers,1530.5,1863,184,67.5,68.5,68.5,7.876855415,54,1,53
171,21,178,15,4,1.262833914,25.94988067,Deccan Chargers,Chennai Super Kings,1722,2174.6,211.8,92,83.8,83.8,7.99111358,68,2,52
172,33,211,17,6,1.110411622,18.64227642,Rajasthan Royals,Kings XI Punjab,1032.5,1146.5,107.5,44,61.5,61.5,7.700939597,48.25,1,57
